date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,deaths_covid
2022-01-12,0.23311085788702587,43.86973854258215,1250.2738969664233,1203.8514209624707,0.3207068486956959,16.50372299791708
2022-01-13,0.2287294615259476,46.639109152026315,1263.5502821258776,1217.2466265987516,0.323305909690385,14.625669590956894
2022-01-14,0.23178269355888093,46.23711545317184,1263.7259643687948,1217.6552689643347,0.32604491108208583,15.236049302703721
2022-01-15,0.22218607677293428,45.3588821071873,1238.1349458176908,1192.0963522983377,0.32816485264779416,16.123673034270947
2022-01-16,0.22225837943377807,45.477647204973394,1240.277101436343,1195.6146239309824,0.3301144130005569,14.617979396699063
2022-01-17,0.24390243902439024,42.22308154166455,1382.2448394277556,1337.5094907453556,0.3428698356286095,19.827328692091815
2022-01-18,0.23907963329138954,44.013938360220145,1401.951373700165,1357.0797724908305,0.3332031938742097,17.531614369268052
2022-01-19,0.23049356572731716,44.06089965585957,1260.191183757667,1217.4273353971464,0.33107152246579113,14.245232073118919
2022-01-20,0.21657710470607394,43.68397585919377,1235.9499077277,1195.7025917420258,0.329477523090998,14.104660390161731
2022-01-21,0.2207749918593292,43.42758907499394,1214.917400397318,1173.7033266057751,0.3257302120958368,14.74491415152598
2022-01-22,0.21185474678391142,42.498266795245094,1176.3929878751285,1136.1652471649122,0.3224430927447169,14.070210149687414
2022-01-23,0.21136622699886012,42.082336551588455,1168.778009036177,1131.3709100544036,0.322724347244482,13.373625156303955
2022-01-24,0.2308522114347357,38.46669592280466,1300.8562587935653,1260.5234292090024,0.3228340499577591,14.657376034792089
2022-01-25,0.23053407660492717,39.99384309459919,1294.3229582950876,1252.4436048804182,0.31959733396929796,15.920297053039045
2022-01-26,0.22591145833333334,41.96424577662354,1139.9991014572968,1100.0294654970508,0.31414078156312625,13.825380343448577
2022-01-27,0.21649316851008457,38.96175156162648,1110.3930647023356,1071.5009964025742,0.3074585635359116,16.50886210733281
2022-01-28,0.21294940621441352,38.616927088490336,1073.705042204473,1036.2224862112105,0.3031246078554398,13.215296292915578
2022-01-29,0.2000976085895559,37.60084625396868,1024.094489473973,988.7412976201241,0.29659321159340035,12.84987492401992
2022-01-30,0.20182291666666666,35.305142400929405,1019.2852884249926,984.9637410288746,0.29454178747006177,11.474454795863648
2022-01-31,0.2236983842010772,34.97438035992836,1113.4883207051616,1079.904708987262,0.29103195654919795,13.562969374178103
2022-02-01,0.2156193895870736,31.720208296343632,1082.6009357883222,1050.8575483481618,0.28644398314147324,14.849623474145483
2022-02-02,0.21054344288968435,33.853247528617395,946.8226451744262,914.6293344400785,0.2768040720124367,11.594833867317236
2022-02-03,0.19759310456984874,32.06819795091411,910.6549945018696,880.3412786692817,0.2697892330494637,15.244881674523802
2022-02-04,0.1967479674796748,30.37368958400291,872.5328485145029,843.4616416318798,0.2606296738515679,11.82757912102481
2022-02-05,0.18754066363044894,29.155713168082038,827.0184342507035,799.6627410082789,0.2509996342032568,10.955749566997042
2022-02-06,0.18677739781794497,29.03141541940464,809.1739346158096,782.3628140749072,0.2483224881717975,11.947231118977223
2022-02-07,0.20430879712746858,26.42988885553614,878.599334132229,860.4767027726682,0.2448821399072368,12.34721716892827
2022-02-08,0.20082704063286588,25.722206231806556,844.8488601327621,828.9165013879372,0.23579821539005213,11.773203880172003
2022-02-09,0.19908765070055393,24.894703343673093,736.3935537678825,723.7230157966287,0.2260527736960426,9.39800021839294
2022-02-10,0.1851610803774813,23.910500470975666,701.3208535539003,689.0709736639869,0.21822783535011395,9.274526140812027
2022-02-11,0.18409497479264922,25.84694348684388,670.8059704463811,649.7999412579292,0.20755764088592907,11.10480579409613
2022-02-12,0.17225113858165256,21.088586195075102,635.1335302097183,613.3861793966289,0.1992580681918894,8.559646741621693
2022-02-13,0.1735806084268749,20.09936135345632,614.7540815905367,594.3307783072121,0.19304483013482174,7.6475571125011275
2022-02-14,0.1914702177433867,19.762477737981683,670.8177921688653,648.2354035589227,0.1897590361445783,8.79581926074047
2022-02-15,0.19143576826196473,18.821522052309824,637.8552222943763,616.6771418275823,0.1811722686395816,8.906770541336964
2022-02-16,0.18733723958333334,19.953779664218644,545.2440122993281,526.0215608448538,0.1711475326716609,7.21120516072
2022-02-17,0.17726459586924703,17.988843244807352,517.4547448000083,539.0345279172757,0.16408562535730165,9.30844637390142
2022-02-18,0.1767767116604326,17.20679604434988,492.59289711207407,475.0128230527442,0.15631129792383136,7.088119757608253
2022-02-19,0.16574495770982434,16.38607675344193,468.579153511649,450.55889049833644,0.14897953951079432,6.218242417303643
2022-02-20,0.16802212101496422,16.140832332533886,455.3344403715609,437.8871769997872,0.14421029538914196,7.058330675718305
